Artist	Album	ArtistHash	AlbumHash	PathHash
Peru Manta	Zamponas Y Charango Vol III	96B40A0BCA09E8514D94376349B78712D4AF2ACA7C87C7F6D099ACAE9A7DBC6D	5F074C296788CDF5241601DEAC5434410A6044C4DB625CDAD170B071F6A4726B	6315730A1803074C5CF4B4A70FD1DA5DAF34BA56D3A34A74077F3605F8D7FC39
Peter Boyer	Balance of Power	4DD6032B893211CEEB04C76500300FD9A78246741B4FB09204F22EA78E36EFA6	2D21EBC6CCC75761376D3015C8DF69ED45A404D7B0B5385860FD98B050576E48	D5E99078AF9955DD29C266AF7F7469D411CE51532CC1FF374EDF0C86E918E50C
Peter Boyer	Symphony No. 1	4DD6032B893211CEEB04C76500300FD9A78246741B4FB09204F22EA78E36EFA6	981A14820C7ED8B8F373A3CF4D782F990AFB9722F7CE807090187F014BB44E5B	C9DD6453E419C288E29FBD37DDBCF05114FF4CD200AF76BC49CD98C809D540F9
Peter Breiner	Beatles Go Baroque	562FD6E85F197B09C3DAFA626A182917AE3B8BBDB2F9960D000ACCD0E1D2A2E9	C365F4589D4FE564DC14D7154B51B075648FEDB1AC63779A6FDDD2CF231FF3BE	25FEAFF08472F4CDE150311726B999515389005318CE0D5858460FD3B5E1027E
Peter Frampton	Frampton Comes Alive!	B5F08F26A87505F6FD9BD9D5214380513CC01E3ECD7B2B496CDAE5287324DB20	F3921B5D3A1A51CD56D985AFD02CABADF194B308DD391DF1F4B4F5D3CD0FFD45	875CF3C1BCF86630B1D1465F81D7D4F5FD9C00256C3DE3EC0B491D7A0BD7DE2A
Peter Gabriel	Peter Gabriel 3 Melt	F43E4C0746290ECBC2F1A98EBF0179E6E69D3C74C38DEF6D5CC0633B5D7C179F	5560CDE85AABECF083A34AD89AACF210DCE506D4AC7F1223E1C4D533F09A5651	AF6DA791EF8673F83712E95D6E3D093479FA797D3ACC3E388D16F5390FA7C8B6
Peter Ilyich Tchaikovsky	1812 Overture, Cappricio Italien, Cossack Dance	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	95D6829E8D45E170020CE1B3A14AA4CC5C5A67DCB8B57B56B2C41D58A7763A1E	F939DF05858CC51F3428520BA58E5E03656263B45746690BAE5A36A43A2B5F74
Peter Ilyich Tchaikovsky	Piano Concerto No. 1	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	686CAC41E3EA417189C4A0539405F2F6B5C5954ABDAB0320597BEE7E2FC2DFEC	3CAE043D44DAF712928563939189592CCAE47D2B42033D65C7B942A3518A6FC4
Peter Ilyich Tchaikovsky	Piano Concertos Nos. 2 & 3	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	97DE04F03CF9FF04625141E32189A8CF5CB825A4B8417F62196A4C70C4B2DAB7	2F4E00821E62B0C8B50BCAB84FDA67C7A657E3745778F103D3275F9D5E5A670A
Peter Ilyich Tchaikovsky	Romeo & Juliet, The Nutcracker (Unknown)	3FEC9CEF4D2604FBB2A5DAAF98C6B279BCB9F9386815DE421DCF00A463F4F028	D93A1B1468E52EE43907582D2B2792A0A23BCDD3FADC08CA4A01587203A4C517	EC5C9DD621A6C6CDB52A8277FBB1DED3B3957DCC233CA387FA20DF6E2A97902D
